embedding1,embedding2,label
"[-0.8410468101501465, 1.1900489330291748, -1.5803500413894653, 0.7191121578216553, 1.2530049085617065, -1.183144211769104, 1.0264304876327515, -1.5332306623458862, -1.32081139087677, -0.6988796591758728, -0.8533288836479187, 0.5952005386352539, -0.9556923508644104, -1.961361289024353, 2.2082479000091553, -1.872409701347351, -0.9450367093086243]","[0.807191789150238, 0.004702759440988302, -0.5929904580116272, -0.9989248514175415, 0.3334459662437439, -2.2369191646575928, 1.3207688331604004, -1.86759614944458, -1.7286313772201538, -2.148602247238159, -1.6404634714126587, 0.2543273866176605, 0.07048991322517395, -2.617438554763794, 2.087217330932617, -1.8543235063552856, -0.7275989651679993]",1
"[-0.8410468101501465, 1.1900489330291748, -1.5803500413894653, 0.7191121578216553, 1.2530049085617065, -1.183144211769104, 1.0264304876327515, -1.5332306623458862, -1.32081139087677, -0.6988796591758728, -0.8533288836479187, 0.5952005386352539, -0.9556923508644104, -1.961361289024353, 2.2082479000091553, -1.872409701347351, -0.9450367093086243]","[1.920336127281189, 0.19488263130187988, 1.354392170906067, -2.8421640396118164, 0.9852880835533142, -1.7968891859054565, 2.49638295173645, -2.184377908706665, -1.037721872329712, -2.812352180480957, -2.266929864883423, -0.6502265930175781, -0.6938995122909546, -3.0936145782470703, 1.7950708866119385, -1.1953190565109253, -2.084402084350586]",0
"[-0.880165696144104, -0.5106965899467468, -0.7789779901504517, -0.41815781593322754, 0.8721174597740173, -0.4353858232498169, 2.013718366622925, -1.3764301538467407, -1.4094822406768799, -1.0910000801086426, -1.880039930343628, 1.7996265888214111, -0.8668645024299622, -2.5920422077178955, 2.287529945373535, -0.7569520473480225, -2.4056782722473145]","[-1.0499579906463623, -2.28238844871521, -1.3279640674591064, 1.4357855319976807, 1.2705919742584229, -1.3489400148391724, 2.50780987739563, -1.040495753288269, 0.23425434529781342, -0.8191865086555481, 0.10713750869035721, 0.8852012157440186, -1.5636663436889648, -2.060807943344116, 1.230582594871521, -2.3959362506866455, -2.7276058197021484]",1
"[-0.880165696144104, -0.5106965899467468, -0.7789779901504517, -0.41815781593322754, 0.8721174597740173, -0.4353858232498169, 2.013718366622925, -1.3764301538467407, -1.4094822406768799, -1.0910000801086426, -1.880039930343628, 1.7996265888214111, -0.8668645024299622, -2.5920422077178955, 2.287529945373535, -0.7569520473480225, -2.4056782722473145]","[0.6956779360771179, -0.48762065172195435, 0.11904340982437134, -1.68117094039917, 0.8071421384811401, -2.6001341342926025, 1.7322447299957275, -2.4117021560668945, -1.3244359493255615, -2.175267457962036, -0.05872366949915886, 0.086467444896698, -0.532817542552948, -2.5066373348236084, 1.842833161354065, -1.2180453538894653, -1.2995721101760864]",0
"[1.6399242877960205, 1.101556420326233, -1.2886518239974976, -2.448572874069214, -0.9950085878372192, -2.516814708709717, 1.7833625078201294, -2.507075548171997, -0.857076108455658, -0.47113603353500366, -0.6467276215553284, 0.009108984842896461, 1.2141937017440796, -2.5282232761383057, 2.142181873321533, -2.6400578022003174, -1.2484880685806274]","[-0.23146435618400574, -1.0469352006912231, -0.08141389489173889, 0.42788928747177124, 0.9371336102485657, -1.9710731506347656, 1.4031405448913574, -1.086159586906433, -0.7597926259040833, -1.5141290426254272, -1.2342649698257446, 0.47223320603370667, -0.5527163147926331, -2.1268973350524902, 1.8068050146102905, -1.5871937274932861, -0.3651670217514038]",1
"[1.6399242877960205, 1.101556420326233, -1.2886518239974976, -2.448572874069214, -0.9950085878372192, -2.516814708709717, 1.7833625078201294, -2.507075548171997, -0.857076108455658, -0.47113603353500366, -0.6467276215553284, 0.009108984842896461, 1.2141937017440796, -2.5282232761383057, 2.142181873321533, -2.6400578022003174, -1.2484880685806274]","[-2.6375176906585693, 0.13861563801765442, 0.00859992578625679, 1.2155040502548218, -0.14706771075725555, -0.5381625890731812, 2.724163770675659, 1.0164754390716553, 0.23195338249206543, -0.5445937514305115, -1.8033859729766846, -0.4830959439277649, -2.0357184410095215, -2.377619981765747, 1.9606460332870483, -2.480015993118286, -1.7366241216659546]",0
"[-1.2393133640289307, -1.2972170114517212, 1.3244949579238892, 0.15264980494976044, 0.40759068727493286, -1.058245062828064, 2.098503351211548, -1.0139728784561157, -1.6722484827041626, 1.5439763069152832, -0.8643724322319031, 1.159414529800415, -2.762702226638794, -2.2959768772125244, 0.6757932901382446, -1.5257681608200073, -2.207470417022705]","[-1.6238762140274048, -0.4854927659034729, 0.792366623878479, -0.4251832664012909, 0.45010608434677124, -0.31665465235710144, 1.7967479228973389, -1.7126964330673218, -1.424983024597168, 0.5733986496925354, 0.5120066404342651, 1.385741114616394, 0.14475280046463013, -2.5763795375823975, 1.9296681880950928, -1.745303750038147, -2.1211745738983154]",1
"[-1.2393133640289307, -1.2972170114517212, 1.3244949579238892, 0.15264980494976044, 0.40759068727493286, -1.058245062828064, 2.098503351211548, -1.0139728784561157, -1.6722484827041626, 1.5439763069152832, -0.8643724322319031, 1.159414529800415, -2.762702226638794, -2.2959768772125244, 0.6757932901382446, -1.5257681608200073, -2.207470417022705]","[0.5308738350868225, -1.341508150100708, 0.2634212076663971, -1.2278096675872803, -0.09665781259536743, -2.243326187133789, 1.2775750160217285, 0.511264443397522, 0.15133678913116455, -0.1999390572309494, -2.0191502571105957, 1.3009756803512573, -1.8614071607589722, -2.3640615940093994, 1.899985432624817, -2.5709075927734375, -1.8123043775558472]",0
"[2.3475005626678467, 1.060448169708252, 1.756779432296753, -2.4599802494049072, 0.4441665709018707, -2.1758694648742676, 2.052006721496582, -3.172288656234741, -1.631681203842163, -1.9464678764343262, -1.725629448890686, 0.4156084358692169, -0.10887119174003601, -2.908362627029419, 1.0505727529525757, -1.1887966394424438, -1.6571619510650635]","[1.0600391626358032, -0.07309786975383759, 1.3199430704116821, -1.3973902463912964, 1.750051498413086, -1.7306820154190063, 2.174250841140747, -1.7704015970230103, -1.2352854013442993, 0.3806420564651489, -1.2879234552383423, -0.10346682369709015, -1.0965230464935303, -2.3899166584014893, 1.81053626537323, 0.0578392930328846, -1.5707701444625854]",1
"[2.3475005626678467, 1.060448169708252, 1.756779432296753, -2.4599802494049072, 0.4441665709018707, -2.1758694648742676, 2.052006721496582, -3.172288656234741, -1.631681203842163, -1.9464678764343262, -1.725629448890686, 0.4156084358692169, -0.10887119174003601, -2.908362627029419, 1.0505727529525757, -1.1887966394424438, -1.6571619510650635]","[0.6123679280281067, -0.22307442128658295, -0.2932121455669403, -0.8831079602241516, -0.13610513508319855, -1.3490804433822632, 0.8678030371665955, -0.3977978527545929, -2.25091552734375, 0.37024715542793274, -0.13522961735725403, -0.5473308563232422, -0.09569177776575089, -2.0694916248321533, 1.5745230913162231, -1.4716688394546509, -1.363507866859436]",0
"[-0.6941322684288025, -0.5786172747612, -0.7189854383468628, -0.09526270627975464, -2.0723819732666016, -0.8644136786460876, 2.665588617324829, -1.105686902999878, -0.39610326290130615, -0.6663022637367249, -1.934276819229126, 0.5179880261421204, -0.24403999745845795, -2.3343324661254883, 0.7418776750564575, -2.990344285964966, -2.54040789604187]","[-0.38172754645347595, 0.0006838752888143063, -0.9930975437164307, 0.11512798070907593, 0.7593586444854736, -1.4865392446517944, 2.7047483921051025, -1.6801971197128296, 1.762694239616394, -0.8184608817100525, -0.5876971483230591, 1.2971290349960327, -1.001480221748352, -2.149965286254883, 1.9875367879867554, -1.8653500080108643, -1.74049973487854]",1
"[-0.6941322684288025, -0.5786172747612, -0.7189854383468628, -0.09526270627975464, -2.0723819732666016, -0.8644136786460876, 2.665588617324829, -1.105686902999878, -0.39610326290130615, -0.6663022637367249, -1.934276819229126, 0.5179880261421204, -0.24403999745845795, -2.3343324661254883, 0.7418776750564575, -2.990344285964966, -2.54040789604187]","[0.8856987953186035, -1.0313574075698853, -0.24239392578601837, -0.8435231447219849, -1.4954237937927246, -1.4925516843795776, 2.341005325317383, -2.542097330093384, -1.6219342947006226, -0.923739492893219, -0.19743461906909943, 1.5525219440460205, -0.3003780245780945, -2.3062686920166016, 2.0490236282348633, -2.049543857574463, -2.1026554107666016]",0
"[-2.2857444286346436, -0.16619592905044556, 2.059370279312134, 0.082015261054039, -0.8834531903266907, -1.7667356729507446, 2.036738872528076, -0.6160458922386169, -0.11858285963535309, 0.12517939507961273, -2.018202781677246, 1.3773770332336426, -1.2577663660049438, -2.5333449840545654, 2.531860828399658, -2.1984457969665527, -1.4766134023666382]","[-0.9588842988014221, 0.08700177818536758, 0.12932486832141876, -0.2719687819480896, -0.2802700102329254, -1.7118884325027466, -0.025232071056962013, -1.344468355178833, -1.7874447107315063, 0.006278437562286854, -0.0355050154030323, 0.4347313940525055, -0.8223721981048584, -2.0746309757232666, 2.6807990074157715, -1.5784448385238647, -2.0569663047790527]",1
"[-2.2857444286346436, -0.16619592905044556, 2.059370279312134, 0.082015261054039, -0.8834531903266907, -1.7667356729507446, 2.036738872528076, -0.6160458922386169, -0.11858285963535309, 0.12517939507961273, -2.018202781677246, 1.3773770332336426, -1.2577663660049438, -2.5333449840545654, 2.531860828399658, -2.1984457969665527, -1.4766134023666382]","[-0.2737302780151367, 0.6081393361091614, 1.6777504682540894, -1.817400336265564, 1.9293231964111328, -1.7436714172363281, 2.553823709487915, -1.6585782766342163, -0.18719881772994995, 1.1354422569274902, -0.3261624276638031, 0.8541030883789062, -1.892093300819397, -2.710136651992798, 2.2413034439086914, -0.9126849174499512, -2.075132131576538]",0
"[0.6910826563835144, -0.3425440490245819, 0.49486345052719116, -0.858973503112793, 1.4312431812286377, -2.1847891807556152, 1.3371859788894653, -0.9835788607597351, -0.7527499198913574, -0.8597202897071838, -1.6207959651947021, -0.754081666469574, -1.2760019302368164, -2.393515110015869, 1.9043982028961182, -1.6726824045181274, -1.4810376167297363]","[-0.632135808467865, 0.15602628886699677, -0.04539983719587326, -0.26833465695381165, 0.019449789077043533, -1.461268663406372, 2.0707080364227295, -0.9777136445045471, -0.6401562690734863, 1.1582844257354736, -0.3434326648712158, 1.2658437490463257, -1.9080160856246948, -1.9707444906234741, 2.0116374492645264, -2.0764665603637695, -1.740625262260437]",1
"[0.6910826563835144, -0.3425440490245819, 0.49486345052719116, -0.858973503112793, 1.4312431812286377, -2.1847891807556152, 1.3371859788894653, -0.9835788607597351, -0.7527499198913574, -0.8597202897071838, -1.6207959651947021, -0.754081666469574, -1.2760019302368164, -2.393515110015869, 1.9043982028961182, -1.6726824045181274, -1.4810376167297363]","[-2.556093692779541, 1.309043526649475, -0.3746502101421356, -0.44553259015083313, -0.6110327243804932, 0.49063873291015625, 1.8748738765716553, 0.08694614470005035, -0.5996826887130737, -0.03257576376199722, 0.5960625410079956, 1.54242742061615, -2.3301384449005127, -2.1341845989227295, 1.0205824375152588, -2.194796085357666, -1.9132790565490723]",0
"[1.0784928798675537, -0.41011571884155273, 1.6819229125976562, -2.0077781677246094, 0.6186147928237915, -2.596261501312256, 2.1896166801452637, -1.9778192043304443, -0.5362035632133484, -0.4775078296661377, -0.7943148016929626, 0.344997763633728, -0.811014711856842, -2.602236032485962, 2.2760727405548096, -0.18373510241508484, -0.6095231771469116]","[0.9259909987449646, -0.6778245568275452, 1.0089097023010254, -1.4732722043991089, 0.7976971864700317, -1.3852559328079224, 2.2926838397979736, -0.47196272015571594, -0.5895837545394897, -0.2897055447101593, -0.6398508548736572, 0.04938221350312233, -0.7249137163162231, -2.5047075748443604, 1.7049793004989624, -1.5635881423950195, -1.1987217664718628]",1
"[1.0784928798675537, -0.41011571884155273, 1.6819229125976562, -2.0077781677246094, 0.6186147928237915, -2.596261501312256, 2.1896166801452637, -1.9778192043304443, -0.5362035632133484, -0.4775078296661377, -0.7943148016929626, 0.344997763633728, -0.811014711856842, -2.602236032485962, 2.2760727405548096, -0.18373510241508484, -0.6095231771469116]","[0.4847196638584137, -1.5414296388626099, 1.233082890510559, -1.3978397846221924, 0.8515400886535645, -1.6593761444091797, 2.4625930786132812, -1.4783321619033813, -1.536153793334961, -0.8506905436515808, -1.4450591802597046, -1.4107310771942139, -1.5548442602157593, -2.806466817855835, 1.8638229370117188, -1.2580304145812988, -1.967172384262085]",0
"[1.6613506078720093, -0.4358740746974945, 0.7170380353927612, -2.082425117492676, -0.9563401937484741, -2.873934268951416, 2.221827507019043, -2.229266881942749, -1.4057730436325073, -2.460944890975952, -1.0648131370544434, 0.8135146498680115, -1.3807425498962402, -2.5513370037078857, 1.6159015893936157, -1.0270406007766724, -1.5471880435943604]","[1.7804397344589233, -0.6094422936439514, 0.8281989693641663, -2.2410171031951904, 1.123109221458435, -1.0165095329284668, 1.7301442623138428, -2.5165445804595947, 0.5302492380142212, -1.796919584274292, -1.5659747123718262, 1.9671040773391724, -0.32828933000564575, -2.5383238792419434, 1.4350924491882324, -1.2301946878433228, -0.774503231048584]",1
"[1.6613506078720093, -0.4358740746974945, 0.7170380353927612, -2.082425117492676, -0.9563401937484741, -2.873934268951416, 2.221827507019043, -2.229266881942749, -1.4057730436325073, -2.460944890975952, -1.0648131370544434, 0.8135146498680115, -1.3807425498962402, -2.5513370037078857, 1.6159015893936157, -1.0270406007766724, -1.5471880435943604]","[0.2453925460577011, -0.2113872915506363, 0.820638120174408, -1.3553842306137085, 1.4491901397705078, -1.9317303895950317, 2.1683743000030518, -1.3641798496246338, -0.25182613730430603, -1.0140050649642944, 0.06367528438568115, 0.8003708124160767, -1.4255040884017944, -2.4283297061920166, 1.4144142866134644, -1.9789193868637085, -1.4346879720687866]",0
"[-1.8209476470947266, -0.8365193009376526, -1.9832134246826172, 1.0506854057312012, 2.1379647254943848, -2.071765184402466, 1.4847297668457031, 0.2071395367383957, 0.39843082427978516, -2.259031057357788, -0.9853673577308655, -0.05053119361400604, -0.5336068272590637, -1.9853930473327637, 2.4362199306488037, -1.5957229137420654, -0.6010075807571411]","[-0.8080260157585144, 0.13256753981113434, -0.1369910091161728, 0.1760481894016266, 0.6253958940505981, -1.3769046068191528, 1.6276071071624756, -0.8454155325889587, -0.3698510527610779, -0.6516218185424805, -0.5713765621185303, -0.3074837028980255, 0.2432163655757904, -2.256601095199585, 2.1128079891204834, -1.9876028299331665, 0.27771955728530884]",1
"[-1.8209476470947266, -0.8365193009376526, -1.9832134246826172, 1.0506854057312012, 2.1379647254943848, -2.071765184402466, 1.4847297668457031, 0.2071395367383957, 0.39843082427978516, -2.259031057357788, -0.9853673577308655, -0.05053119361400604, -0.5336068272590637, -1.9853930473327637, 2.4362199306488037, -1.5957229137420654, -0.6010075807571411]","[-0.6213908195495605, 0.6412798166275024, -0.3787860572338104, 0.5422360301017761, 0.0516754575073719, -0.9099622964859009, 1.437178611755371, -0.5758055448532104, 0.16287146508693695, 0.17007659375667572, -0.7745247483253479, -0.024584973230957985, -0.4269271790981293, -1.6822152137756348, 1.6662304401397705, -1.0507053136825562, -1.8301383256912231]",0
"[0.85279780626297, 1.586643099784851, 1.1655185222625732, -2.7732512950897217, -0.6635552644729614, -2.1886980533599854, 2.374267339706421, -3.0907552242279053, -1.040213704109192, -1.6111969947814941, 1.0679171085357666, 0.6382505893707275, -0.1973733752965927, -2.628444194793701, 2.0425643920898438, -0.3975728154182434, -1.7408970594406128]","[0.27371057868003845, -0.8482908606529236, -0.7533553838729858, -0.20967379212379456, 1.5716924667358398, -1.6691975593566895, 1.4269921779632568, -0.7496880888938904, -0.11261994391679764, -0.4880686104297638, -1.3372266292572021, -0.3633725941181183, -0.3787173628807068, -2.106771945953369, 2.0954060554504395, -1.769256591796875, -0.9326146245002747]",1
"[0.85279780626297, 1.586643099784851, 1.1655185222625732, -2.7732512950897217, -0.6635552644729614, -2.1886980533599854, 2.374267339706421, -3.0907552242279053, -1.040213704109192, -1.6111969947814941, 1.0679171085357666, 0.6382505893707275, -0.1973733752965927, -2.628444194793701, 2.0425643920898438, -0.3975728154182434, -1.7408970594406128]","[-0.008094701915979385, -1.295477271080017, 0.56673663854599, 0.4235413074493408, 0.7478759288787842, -1.190960168838501, 1.4719717502593994, -1.6722371578216553, -1.3070470094680786, 0.5230764150619507, -0.3899780809879303, 0.972996175289154, 0.6297639012336731, -2.129127264022827, 2.2066547870635986, -0.9792376756668091, -1.370104193687439]",0
"[1.6777375936508179, -0.30838531255722046, 1.6671340465545654, -3.3306357860565186, -0.451368510723114, -2.5411431789398193, 2.9073667526245117, -3.4630439281463623, 1.1667444705963135, -2.0088770389556885, -1.4391283988952637, 2.0831410884857178, 0.3221600651741028, -3.2670981884002686, 2.8953235149383545, -0.9130778312683105, -0.5791295766830444]","[0.7770753502845764, 0.8320375084877014, -0.6609326601028442, -2.154132604598999, 0.9583802223205566, -1.4963226318359375, 2.3691117763519287, -1.9123660326004028, -0.666592001914978, -1.3477914333343506, -0.05636943504214287, 0.3757711350917816, -0.4966720640659332, -2.4243931770324707, 1.4530792236328125, -1.3323928117752075, -1.8197468519210815]",1
"[1.6777375936508179, -0.30838531255722046, 1.6671340465545654, -3.3306357860565186, -0.451368510723114, -2.5411431789398193, 2.9073667526245117, -3.4630439281463623, 1.1667444705963135, -2.0088770389556885, -1.4391283988952637, 2.0831410884857178, 0.3221600651741028, -3.2670981884002686, 2.8953235149383545, -0.9130778312683105, -0.5791295766830444]","[-1.567581057548523, -0.6700895428657532, -0.6157256960868835, 0.9139328598976135, 1.2605009078979492, -1.2266637086868286, 1.5288994312286377, -0.9674261808395386, -0.3546278774738312, 0.08642344176769257, -1.1900839805603027, 0.2590586841106415, -0.9344332814216614, -1.9086767435073853, 1.86125648021698, -1.7801653146743774, -1.8222286701202393]",0
"[1.1086074113845825, -0.5114606618881226, 0.38826319575309753, -2.2573318481445312, 0.06446150690317154, -1.1141000986099243, 2.404797315597534, -2.428614854812622, -1.8472310304641724, -0.15958283841609955, -0.6903290152549744, 0.4601882994174957, -1.1754546165466309, -2.8950259685516357, 1.9013546705245972, -1.3305366039276123, -0.9406315088272095]","[-0.2172321379184723, -0.5656926035881042, -0.14969556033611298, -1.0027281045913696, 0.36525213718414307, -1.5225582122802734, 1.2847049236297607, -1.6106740236282349, -0.7883434295654297, 0.19255736470222473, -0.5865276455879211, 0.8021668195724487, -0.08241452276706696, -2.0980308055877686, 2.0785000324249268, -1.4128128290176392, -1.7619582414627075]",1
"[1.1086074113845825, -0.5114606618881226, 0.38826319575309753, -2.2573318481445312, 0.06446150690317154, -1.1141000986099243, 2.404797315597534, -2.428614854812622, -1.8472310304641724, -0.15958283841609955, -0.6903290152549744, 0.4601882994174957, -1.1754546165466309, -2.8950259685516357, 1.9013546705245972, -1.3305366039276123, -0.9406315088272095]","[-1.2457870244979858, 0.3821488916873932, -1.6154741048812866, -0.8387451171875, 0.8437068462371826, -1.3568367958068848, 2.2066969871520996, 1.6098933219909668, -0.9341486692428589, -0.5467782616615295, -0.6466953754425049, -0.6865552067756653, -2.4876229763031006, -2.210355520248413, 1.2568635940551758, -2.1231846809387207, -2.1641480922698975]",0
"[1.0282959938049316, 0.5974796414375305, 0.06702762097120285, -3.0349042415618896, 0.3699612319469452, -1.5568352937698364, 2.6739957332611084, -3.444556474685669, -0.9036312103271484, -1.7055063247680664, 0.29346588253974915, 1.9923169612884521, -0.8515677452087402, -2.9139227867126465, 1.928578495979309, -0.8179225921630859, -2.1014368534088135]","[0.5620368123054504, -0.6112381815910339, -0.813353419303894, -1.6866246461868286, -0.7764802575111389, -1.3756738901138306, 2.2756316661834717, -0.8551531434059143, -1.8312095403671265, 1.0988640785217285, 0.7348374724388123, 1.0778274536132812, -0.538090169429779, -2.2778635025024414, 2.2612147331237793, -1.5748227834701538, -2.4219958782196045]",1
"[1.0282959938049316, 0.5974796414375305, 0.06702762097120285, -3.0349042415618896, 0.3699612319469452, -1.5568352937698364, 2.6739957332611084, -3.444556474685669, -0.9036312103271484, -1.7055063247680664, 0.29346588253974915, 1.9923169612884521, -0.8515677452087402, -2.9139227867126465, 1.928578495979309, -0.8179225921630859, -2.1014368534088135]","[-0.4274075925350189, 0.33795812726020813, -0.36451980471611023, 0.34778809547424316, 1.945359230041504, -0.6170104146003723, 1.7681877613067627, -0.25409048795700073, -0.8861353993415833, 0.9372690320014954, -1.021925449371338, -0.07201513648033142, -0.02270026132464409, -2.576620578765869, 2.2294554710388184, -2.4172544479370117, -0.48645150661468506]",0
"[-1.8839585781097412, 2.032552719116211, -2.4730734825134277, -0.9537022113800049, -0.5616291761398315, -0.7814343571662903, 2.0785884857177734, -0.31061646342277527, -1.103373646736145, -0.46480703353881836, -0.46503373980522156, 1.2782046794891357, -0.6184620261192322, -2.502856969833374, 2.0953714847564697, -2.7440762519836426, -1.1368305683135986]","[-1.4437798261642456, 0.8220149874687195, -1.1862965822219849, -0.0275192242115736, -0.29612213373184204, -1.8699028491973877, 2.005607843399048, 0.013139190152287483, -0.9880406856536865, -0.9062907695770264, -0.3759317696094513, 0.3944025933742523, -1.2811024188995361, -2.044374942779541, 1.6688053607940674, -2.286686658859253, -1.8885524272918701]",1
