embedding1,embedding2,label
"[-0.9230818152427673, -1.599668264389038, 0.8943088054656982, -0.25808969140052795, 1.132080078125, -0.7247759699821472, 1.676106572151184, 0.2648325562477112, -0.8851134777069092, -0.603886067867279, -1.381131649017334, -0.29371511936187744, -0.5198251605033875, -2.085263967514038, 1.062074065208435, -0.8848721981048584, -1.115407943725586]","[-0.5472783446311951, -0.8068053126335144, 0.5283500552177429, 0.3279261887073517, 1.8783947229385376, -1.2156059741973877, 1.6169878244400024, -0.43573805689811707, -1.081748604774475, -1.239405632019043, -2.001958131790161, 0.1532011330127716, -1.3909635543823242, -2.013601779937744, 0.2819672226905823, -1.405611276626587, -1.9692230224609375]",1
"[-0.9230818152427673, -1.599668264389038, 0.8943088054656982, -0.25808969140052795, 1.132080078125, -0.7247759699821472, 1.676106572151184, 0.2648325562477112, -0.8851134777069092, -0.603886067867279, -1.381131649017334, -0.29371511936187744, -0.5198251605033875, -2.085263967514038, 1.062074065208435, -0.8848721981048584, -1.115407943725586]","[-0.541771650314331, -1.1108953952789307, -0.8950255513191223, -0.40686237812042236, 0.8118394613265991, -0.4265217185020447, 1.4350368976593018, -0.18724797666072845, 1.2138376235961914, -0.6174986958503723, -1.430428147315979, 0.06454366445541382, -0.031249066814780235, -2.0529606342315674, 1.0860286951065063, -1.8934123516082764, -0.759564995765686]",1
"[-0.9230818152427673, -1.599668264389038, 0.8943088054656982, -0.25808969140052795, 1.132080078125, -0.7247759699821472, 1.676106572151184, 0.2648325562477112, -0.8851134777069092, -0.603886067867279, -1.381131649017334, -0.29371511936187744, -0.5198251605033875, -2.085263967514038, 1.062074065208435, -0.8848721981048584, -1.115407943725586]","[-1.7688446044921875, -0.5883522629737854, -1.0767980813980103, -0.7304131984710693, 0.7798970341682434, -1.1231417655944824, 1.7848089933395386, -1.1424736976623535, 0.6812348365783691, -2.4312186241149902, -2.280717611312866, 0.9657422304153442, 0.021925801411271095, -2.6721198558807373, 1.7614089250564575, -2.159642219543457, -0.981464147567749]",1
"[-0.9230818152427673, -1.599668264389038, 0.8943088054656982, -0.25808969140052795, 1.132080078125, -0.7247759699821472, 1.676106572151184, 0.2648325562477112, -0.8851134777069092, -0.603886067867279, -1.381131649017334, -0.29371511936187744, -0.5198251605033875, -2.085263967514038, 1.062074065208435, -0.8848721981048584, -1.115407943725586]","[0.10414329171180725, 0.20289397239685059, -0.6381993889808655, -0.9314962029457092, 0.7010583281517029, -1.831471562385559, 2.5626344680786133, -0.35809215903282166, -1.222011685371399, -1.865890622138977, -1.4359074831008911, 0.6126430034637451, -1.311683177947998, -2.7384469509124756, 1.7029508352279663, -2.4894795417785645, -2.1975181102752686]",1
"[-0.9230818152427673, -1.599668264389038, 0.8943088054656982, -0.25808969140052795, 1.132080078125, -0.7247759699821472, 1.676106572151184, 0.2648325562477112, -0.8851134777069092, -0.603886067867279, -1.381131649017334, -0.29371511936187744, -0.5198251605033875, -2.085263967514038, 1.062074065208435, -0.8848721981048584, -1.115407943725586]","[-0.29961204528808594, -0.8328904509544373, 0.6374666094779968, 1.0046770572662354, 0.6679064631462097, -1.245910406112671, 1.9971212148666382, -0.07079806923866272, 0.8498304486274719, -0.34067779779434204, -2.2792298793792725, -0.13364216685295105, -1.2400493621826172, -1.9978464841842651, 0.3214084506034851, -2.442316770553589, -1.5690484046936035]",1
"[-0.9230818152427673, -1.599668264389038, 0.8943088054656982, -0.25808969140052795, 1.132080078125, -0.7247759699821472, 1.676106572151184, 0.2648325562477112, -0.8851134777069092, -0.603886067867279, -1.381131649017334, -0.29371511936187744, -0.5198251605033875, -2.085263967514038, 1.062074065208435, -0.8848721981048584, -1.115407943725586]","[0.6309827566146851, 0.5021544098854065, 2.909803867340088, -0.807197093963623, 0.9336118102073669, -2.195438861846924, 2.7057793140411377, -2.7018978595733643, -0.6892958879470825, -0.355169415473938, -2.254094362258911, 1.4152753353118896, -1.4702301025390625, -2.8484063148498535, 2.1478641033172607, -0.8028785586357117, -1.8814315795898438]",0
"[-0.9230818152427673, -1.599668264389038, 0.8943088054656982, -0.25808969140052795, 1.132080078125, -0.7247759699821472, 1.676106572151184, 0.2648325562477112, -0.8851134777069092, -0.603886067867279, -1.381131649017334, -0.29371511936187744, -0.5198251605033875, -2.085263967514038, 1.062074065208435, -0.8848721981048584, -1.115407943725586]","[1.234300971031189, 1.374070167541504, 2.1276981830596924, -3.2384164333343506, -0.023936964571475983, -2.5323283672332764, 1.7994799613952637, -3.5164554119110107, -1.162684679031372, -0.7482017874717712, -1.8313242197036743, -0.172135591506958, 0.2042343020439148, -3.0761756896972656, 3.050523519515991, 0.4829031229019165, -1.646754503250122]",0
"[-0.9230818152427673, -1.599668264389038, 0.8943088054656982, -0.25808969140052795, 1.132080078125, -0.7247759699821472, 1.676106572151184, 0.2648325562477112, -0.8851134777069092, -0.603886067867279, -1.381131649017334, -0.29371511936187744, -0.5198251605033875, -2.085263967514038, 1.062074065208435, -0.8848721981048584, -1.115407943725586]","[1.0479246377944946, -1.596238374710083, 0.36651811003685, -1.0254212617874146, 0.12147501111030579, -2.1102237701416016, 1.8388819694519043, -0.7182063460350037, -0.2569025158882141, -0.3129366636276245, -0.693795382976532, 1.360181450843811, -0.9473068118095398, -2.2259421348571777, 1.997905969619751, -1.9565973281860352, -1.6740891933441162]",0
"[-0.9230818152427673, -1.599668264389038, 0.8943088054656982, -0.25808969140052795, 1.132080078125, -0.7247759699821472, 1.676106572151184, 0.2648325562477112, -0.8851134777069092, -0.603886067867279, -1.381131649017334, -0.29371511936187744, -0.5198251605033875, -2.085263967514038, 1.062074065208435, -0.8848721981048584, -1.115407943725586]","[-2.6267175674438477, 0.41962194442749023, -0.768193781375885, 0.4514075219631195, 0.2889474034309387, -1.0850882530212402, 1.7187130451202393, 1.3751906156539917, -0.4318901598453522, -0.9230274558067322, -1.3793548345565796, -0.11351141333580017, -1.4531755447387695, -2.2253568172454834, 1.4986836910247803, -2.7824819087982178, -1.4454861879348755]",0
"[-0.9230818152427673, -1.599668264389038, 0.8943088054656982, -0.25808969140052795, 1.132080078125, -0.7247759699821472, 1.676106572151184, 0.2648325562477112, -0.8851134777069092, -0.603886067867279, -1.381131649017334, -0.29371511936187744, -0.5198251605033875, -2.085263967514038, 1.062074065208435, -0.8848721981048584, -1.115407943725586]","[-0.15529845654964447, -1.255246877670288, -0.3376926779747009, 0.08594487607479095, 1.7447187900543213, -0.29171016812324524, 2.076486110687256, -1.0192863941192627, 0.4712570011615753, -1.8489181995391846, -1.311976432800293, 0.7631551027297974, 0.4113982021808624, -2.318526029586792, 1.1040699481964111, -1.8946545124053955, -0.8912288546562195]",0
"[-0.7453632354736328, -1.8278837203979492, -1.1913610696792603, 0.6220049858093262, 2.185126543045044, -2.587618350982666, 2.0407214164733887, -0.22171437740325928, -1.2884767055511475, -2.558892250061035, -2.0909852981567383, 0.10286054760217667, -0.8656808733940125, -2.737314462661743, 1.6973706483840942, -3.2421181201934814, -1.316418170928955]","[-0.5472783446311951, -0.8068053126335144, 0.5283500552177429, 0.3279261887073517, 1.8783947229385376, -1.2156059741973877, 1.6169878244400024, -0.43573805689811707, -1.081748604774475, -1.239405632019043, -2.001958131790161, 0.1532011330127716, -1.3909635543823242, -2.013601779937744, 0.2819672226905823, -1.405611276626587, -1.9692230224609375]",1
"[-0.7453632354736328, -1.8278837203979492, -1.1913610696792603, 0.6220049858093262, 2.185126543045044, -2.587618350982666, 2.0407214164733887, -0.22171437740325928, -1.2884767055511475, -2.558892250061035, -2.0909852981567383, 0.10286054760217667, -0.8656808733940125, -2.737314462661743, 1.6973706483840942, -3.2421181201934814, -1.316418170928955]","[-0.541771650314331, -1.1108953952789307, -0.8950255513191223, -0.40686237812042236, 0.8118394613265991, -0.4265217185020447, 1.4350368976593018, -0.18724797666072845, 1.2138376235961914, -0.6174986958503723, -1.430428147315979, 0.06454366445541382, -0.031249066814780235, -2.0529606342315674, 1.0860286951065063, -1.8934123516082764, -0.759564995765686]",1
"[-0.7453632354736328, -1.8278837203979492, -1.1913610696792603, 0.6220049858093262, 2.185126543045044, -2.587618350982666, 2.0407214164733887, -0.22171437740325928, -1.2884767055511475, -2.558892250061035, -2.0909852981567383, 0.10286054760217667, -0.8656808733940125, -2.737314462661743, 1.6973706483840942, -3.2421181201934814, -1.316418170928955]","[-1.7688446044921875, -0.5883522629737854, -1.0767980813980103, -0.7304131984710693, 0.7798970341682434, -1.1231417655944824, 1.7848089933395386, -1.1424736976623535, 0.6812348365783691, -2.4312186241149902, -2.280717611312866, 0.9657422304153442, 0.021925801411271095, -2.6721198558807373, 1.7614089250564575, -2.159642219543457, -0.981464147567749]",1
"[-0.7453632354736328, -1.8278837203979492, -1.1913610696792603, 0.6220049858093262, 2.185126543045044, -2.587618350982666, 2.0407214164733887, -0.22171437740325928, -1.2884767055511475, -2.558892250061035, -2.0909852981567383, 0.10286054760217667, -0.8656808733940125, -2.737314462661743, 1.6973706483840942, -3.2421181201934814, -1.316418170928955]","[0.10414329171180725, 0.20289397239685059, -0.6381993889808655, -0.9314962029457092, 0.7010583281517029, -1.831471562385559, 2.5626344680786133, -0.35809215903282166, -1.222011685371399, -1.865890622138977, -1.4359074831008911, 0.6126430034637451, -1.311683177947998, -2.7384469509124756, 1.7029508352279663, -2.4894795417785645, -2.1975181102752686]",1
"[-0.7453632354736328, -1.8278837203979492, -1.1913610696792603, 0.6220049858093262, 2.185126543045044, -2.587618350982666, 2.0407214164733887, -0.22171437740325928, -1.2884767055511475, -2.558892250061035, -2.0909852981567383, 0.10286054760217667, -0.8656808733940125, -2.737314462661743, 1.6973706483840942, -3.2421181201934814, -1.316418170928955]","[-0.29961204528808594, -0.8328904509544373, 0.6374666094779968, 1.0046770572662354, 0.6679064631462097, -1.245910406112671, 1.9971212148666382, -0.07079806923866272, 0.8498304486274719, -0.34067779779434204, -2.2792298793792725, -0.13364216685295105, -1.2400493621826172, -1.9978464841842651, 0.3214084506034851, -2.442316770553589, -1.5690484046936035]",1
"[-0.7453632354736328, -1.8278837203979492, -1.1913610696792603, 0.6220049858093262, 2.185126543045044, -2.587618350982666, 2.0407214164733887, -0.22171437740325928, -1.2884767055511475, -2.558892250061035, -2.0909852981567383, 0.10286054760217667, -0.8656808733940125, -2.737314462661743, 1.6973706483840942, -3.2421181201934814, -1.316418170928955]","[-1.4038666486740112, -1.6206151247024536, -0.36360201239585876, 1.7362148761749268, 0.9185550808906555, -1.9582386016845703, 3.065607786178589, 0.8128798007965088, 0.44473186135292053, -1.216137170791626, -0.5033038854598999, -1.3143154382705688, -1.923425316810608, -2.2216784954071045, 1.5917906761169434, -2.334441900253296, -2.293026924133301]",0
"[-0.7453632354736328, -1.8278837203979492, -1.1913610696792603, 0.6220049858093262, 2.185126543045044, -2.587618350982666, 2.0407214164733887, -0.22171437740325928, -1.2884767055511475, -2.558892250061035, -2.0909852981567383, 0.10286054760217667, -0.8656808733940125, -2.737314462661743, 1.6973706483840942, -3.2421181201934814, -1.316418170928955]","[-2.008272409439087, 0.45522674918174744, -0.05665488541126251, -0.6535191535949707, 0.2253410518169403, -1.5104550123214722, 2.026495933532715, -1.3696988821029663, -1.4360668659210205, -0.6880589723587036, 0.05913034826517105, 0.9081981182098389, -0.3109067976474762, -2.0975289344787598, 1.4598114490509033, -1.3555784225463867, -2.333143711090088]",0
"[-0.7453632354736328, -1.8278837203979492, -1.1913610696792603, 0.6220049858093262, 2.185126543045044, -2.587618350982666, 2.0407214164733887, -0.22171437740325928, -1.2884767055511475, -2.558892250061035, -2.0909852981567383, 0.10286054760217667, -0.8656808733940125, -2.737314462661743, 1.6973706483840942, -3.2421181201934814, -1.316418170928955]","[-0.15222419798374176, -0.9305599331855774, -1.1395626068115234, -0.6890039443969727, 0.1917356252670288, -1.1187878847122192, 1.8670403957366943, -0.2607102692127228, -0.16880445182323456, -0.133235365152359, -1.5936475992202759, -0.24153244495391846, 0.5313032269477844, -2.261584997177124, 1.944077968597412, -2.018662691116333, -1.0719830989837646]",0
"[-0.7453632354736328, -1.8278837203979492, -1.1913610696792603, 0.6220049858093262, 2.185126543045044, -2.587618350982666, 2.0407214164733887, -0.22171437740325928, -1.2884767055511475, -2.558892250061035, -2.0909852981567383, 0.10286054760217667, -0.8656808733940125, -2.737314462661743, 1.6973706483840942, -3.2421181201934814, -1.316418170928955]","[1.3649128675460815, -0.9948980212211609, 1.0507056713104248, -2.062549352645874, 0.29872751235961914, -2.84124493598938, 1.777508020401001, -2.76625657081604, -0.9833438992500305, -2.0122604370117188, -0.7620651125907898, -0.04261127486824989, 0.8643728494644165, -2.276834011077881, 2.0253214836120605, 0.5203649997711182, -1.1611520051956177]",0
"[-0.7453632354736328, -1.8278837203979492, -1.1913610696792603, 0.6220049858093262, 2.185126543045044, -2.587618350982666, 2.0407214164733887, -0.22171437740325928, -1.2884767055511475, -2.558892250061035, -2.0909852981567383, 0.10286054760217667, -0.8656808733940125, -2.737314462661743, 1.6973706483840942, -3.2421181201934814, -1.316418170928955]","[1.234300971031189, 1.374070167541504, 2.1276981830596924, -3.2384164333343506, -0.023936964571475983, -2.5323283672332764, 1.7994799613952637, -3.5164554119110107, -1.162684679031372, -0.7482017874717712, -1.8313242197036743, -0.172135591506958, 0.2042343020439148, -3.0761756896972656, 3.050523519515991, 0.4829031229019165, -1.646754503250122]",0
"[0.4839722216129303, -0.8860173225402832, -1.0042357444763184, -1.9186429977416992, 1.4768834114074707, -0.46400660276412964, 1.2370461225509644, -1.3619905710220337, 0.01673402078449726, -1.455507755279541, -1.5190320014953613, 1.5626215934753418, -0.07998897135257721, -2.4243133068084717, 1.5902897119522095, -1.2980952262878418, 0.037687353789806366]","[-0.5472783446311951, -0.8068053126335144, 0.5283500552177429, 0.3279261887073517, 1.8783947229385376, -1.2156059741973877, 1.6169878244400024, -0.43573805689811707, -1.081748604774475, -1.239405632019043, -2.001958131790161, 0.1532011330127716, -1.3909635543823242, -2.013601779937744, 0.2819672226905823, -1.405611276626587, -1.9692230224609375]",1
"[0.4839722216129303, -0.8860173225402832, -1.0042357444763184, -1.9186429977416992, 1.4768834114074707, -0.46400660276412964, 1.2370461225509644, -1.3619905710220337, 0.01673402078449726, -1.455507755279541, -1.5190320014953613, 1.5626215934753418, -0.07998897135257721, -2.4243133068084717, 1.5902897119522095, -1.2980952262878418, 0.037687353789806366]","[-0.541771650314331, -1.1108953952789307, -0.8950255513191223, -0.40686237812042236, 0.8118394613265991, -0.4265217185020447, 1.4350368976593018, -0.18724797666072845, 1.2138376235961914, -0.6174986958503723, -1.430428147315979, 0.06454366445541382, -0.031249066814780235, -2.0529606342315674, 1.0860286951065063, -1.8934123516082764, -0.759564995765686]",1
"[0.4839722216129303, -0.8860173225402832, -1.0042357444763184, -1.9186429977416992, 1.4768834114074707, -0.46400660276412964, 1.2370461225509644, -1.3619905710220337, 0.01673402078449726, -1.455507755279541, -1.5190320014953613, 1.5626215934753418, -0.07998897135257721, -2.4243133068084717, 1.5902897119522095, -1.2980952262878418, 0.037687353789806366]","[-1.7688446044921875, -0.5883522629737854, -1.0767980813980103, -0.7304131984710693, 0.7798970341682434, -1.1231417655944824, 1.7848089933395386, -1.1424736976623535, 0.6812348365783691, -2.4312186241149902, -2.280717611312866, 0.9657422304153442, 0.021925801411271095, -2.6721198558807373, 1.7614089250564575, -2.159642219543457, -0.981464147567749]",1
"[0.4839722216129303, -0.8860173225402832, -1.0042357444763184, -1.9186429977416992, 1.4768834114074707, -0.46400660276412964, 1.2370461225509644, -1.3619905710220337, 0.01673402078449726, -1.455507755279541, -1.5190320014953613, 1.5626215934753418, -0.07998897135257721, -2.4243133068084717, 1.5902897119522095, -1.2980952262878418, 0.037687353789806366]","[0.10414329171180725, 0.20289397239685059, -0.6381993889808655, -0.9314962029457092, 0.7010583281517029, -1.831471562385559, 2.5626344680786133, -0.35809215903282166, -1.222011685371399, -1.865890622138977, -1.4359074831008911, 0.6126430034637451, -1.311683177947998, -2.7384469509124756, 1.7029508352279663, -2.4894795417785645, -2.1975181102752686]",1
"[0.4839722216129303, -0.8860173225402832, -1.0042357444763184, -1.9186429977416992, 1.4768834114074707, -0.46400660276412964, 1.2370461225509644, -1.3619905710220337, 0.01673402078449726, -1.455507755279541, -1.5190320014953613, 1.5626215934753418, -0.07998897135257721, -2.4243133068084717, 1.5902897119522095, -1.2980952262878418, 0.037687353789806366]","[-0.29961204528808594, -0.8328904509544373, 0.6374666094779968, 1.0046770572662354, 0.6679064631462097, -1.245910406112671, 1.9971212148666382, -0.07079806923866272, 0.8498304486274719, -0.34067779779434204, -2.2792298793792725, -0.13364216685295105, -1.2400493621826172, -1.9978464841842651, 0.3214084506034851, -2.442316770553589, -1.5690484046936035]",1
"[0.4839722216129303, -0.8860173225402832, -1.0042357444763184, -1.9186429977416992, 1.4768834114074707, -0.46400660276412964, 1.2370461225509644, -1.3619905710220337, 0.01673402078449726, -1.455507755279541, -1.5190320014953613, 1.5626215934753418, -0.07998897135257721, -2.4243133068084717, 1.5902897119522095, -1.2980952262878418, 0.037687353789806366]","[0.2573230266571045, -0.25206270813941956, 2.0065629482269287, -0.462435781955719, 0.5729199051856995, -1.9464155435562134, 2.2290592193603516, -1.5218573808670044, 1.2586703300476074, 0.724622368812561, -1.5684866905212402, -0.6906585693359375, -0.3856527805328369, -2.2481987476348877, 1.9359866380691528, -1.0994601249694824, -1.188040018081665]",0
"[0.4839722216129303, -0.8860173225402832, -1.0042357444763184, -1.9186429977416992, 1.4768834114074707, -0.46400660276412964, 1.2370461225509644, -1.3619905710220337, 0.01673402078449726, -1.455507755279541, -1.5190320014953613, 1.5626215934753418, -0.07998897135257721, -2.4243133068084717, 1.5902897119522095, -1.2980952262878418, 0.037687353789806366]","[-1.1032679080963135, -0.3824160695075989, -1.7720601558685303, 0.20149476826190948, 0.7382836937904358, -1.131594181060791, 1.9927504062652588, 0.9065290093421936, -0.2741653621196747, -0.2301316112279892, -1.3074885606765747, -0.2787795066833496, -1.4977209568023682, -1.9732334613800049, 1.6656620502471924, -1.5501809120178223, -1.6603386402130127]",0
"[0.4839722216129303, -0.8860173225402832, -1.0042357444763184, -1.9186429977416992, 1.4768834114074707, -0.46400660276412964, 1.2370461225509644, -1.3619905710220337, 0.01673402078449726, -1.455507755279541, -1.5190320014953613, 1.5626215934753418, -0.07998897135257721, -2.4243133068084717, 1.5902897119522095, -1.2980952262878418, 0.037687353789806366]","[-2.642812728881836, 1.3228412866592407, 0.10371469706296921, -1.0375038385391235, -0.03783119469881058, -0.10662582516670227, 2.046518325805664, -2.22906494140625, -1.4310640096664429, -1.8282314538955688, -0.17406222224235535, 0.8527419567108154, -0.8892636895179749, -2.6466479301452637, 1.604357123374939, -2.2694814205169678, -1.9090945720672607]",0
"[0.4839722216129303, -0.8860173225402832, -1.0042357444763184, -1.9186429977416992, 1.4768834114074707, -0.46400660276412964, 1.2370461225509644, -1.3619905710220337, 0.01673402078449726, -1.455507755279541, -1.5190320014953613, 1.5626215934753418, -0.07998897135257721, -2.4243133068084717, 1.5902897119522095, -1.2980952262878418, 0.037687353789806366]","[-1.4210041761398315, -0.2890748083591461, 0.16696520149707794, 0.8102179169654846, 0.30135348439216614, -1.9494657516479492, 1.7782007455825806, 0.11099836230278015, -1.0635781288146973, -1.2482569217681885, -1.1439802646636963, -0.08045090734958649, -1.165489912033081, -2.1138064861297607, 2.023772954940796, -1.9149177074432373, -1.6430988311767578]",0
"[0.4839722216129303, -0.8860173225402832, -1.0042357444763184, -1.9186429977416992, 1.4768834114074707, -0.46400660276412964, 1.2370461225509644, -1.3619905710220337, 0.01673402078449726, -1.455507755279541, -1.5190320014953613, 1.5626215934753418, -0.07998897135257721, -2.4243133068084717, 1.5902897119522095, -1.2980952262878418, 0.037687353789806366]","[1.4098231792449951, -1.1555085182189941, 1.656521201133728, -2.6465718746185303, 0.16110628843307495, -1.8718737363815308, 2.119198799133301, -2.7533419132232666, -2.314283609390259, -0.9363667368888855, -2.037738800048828, 0.16371771693229675, 0.3252639174461365, -3.066394090652466, 2.459322214126587, -1.0611851215362549, -1.8084149360656738]",0
"[2.0470657348632812, -0.7336143255233765, 0.2805902063846588, -1.4044697284698486, -0.015613587573170662, -1.334350347518921, 1.366912603378296, -0.2987101674079895, -0.9157208800315857, -0.5075879693031311, -2.3996100425720215, 0.040254391729831696, -1.5970449447631836, -2.4145114421844482, 1.3167721033096313, -2.235471487045288, -1.5331352949142456]","[-0.5472783446311951, -0.8068053126335144, 0.5283500552177429, 0.3279261887073517, 1.8783947229385376, -1.2156059741973877, 1.6169878244400024, -0.43573805689811707, -1.081748604774475, -1.239405632019043, -2.001958131790161, 0.1532011330127716, -1.3909635543823242, -2.013601779937744, 0.2819672226905823, -1.405611276626587, -1.9692230224609375]",1
